PDBchain1,PDBchain2,TM1,TM2,RMSD,ID1,ID2,IDali,L1,L2,Lali
AAQ67004.1-86.04,ATV32580.1-86.95,0.3753,0.3423,4.97,0.03,0.026,0.043,132,153,92
AAQ67004.1-86.04,ATV33916.1-80.37,0.2855,0.2427,5.19,0.023,0.018,0.041,132,171,73
AAQ67004.1-86.04,ATV37225.1-92.18,0.8192,0.7143,1.42,0.295,0.255,0.331,132,153,118
AAQ67004.1-86.04,ATV39350.1-79.37,0.287,0.2483,5.64,0.023,0.018,0.038,132,168,79
AAQ67004.1-86.04,ATV51908.1-80.43,0.282,0.2619,3.98,0.008,0.007,0.018,132,146,57
AAQ67004.1-86.04,ATV53006.1-80.31,0.2958,0.2526,5.13,0.015,0.012,0.027,132,169,75
AAQ67004.1-86.04,ATV53739.1-79.73,0.2921,0.2438,5.27,0.053,0.04,0.093,132,175,75
AAQ67004.1-86.04,ATV55906.1-78.29,0.2911,0.2511,5.3,0.038,0.03,0.065,132,168,77
AAQ67004.1-86.04,AWX06279.1-78.97,0.2874,0.248,5.58,0.03,0.024,0.051,132,168,78
AAQ67004.1-86.04,AWX07865.1-78.67,0.2964,0.2547,5.25,0.038,0.03,0.066,132,168,76
AAQ67004.1-86.04,AWX08490.1-72.23,0.2799,0.2438,5.19,0.068,0.055,0.129,132,163,70
AAQ67004.1-86.04,BAR48143.1-90.34,0.3022,0.2337,5.15,0.061,0.041,0.108,132,193,74
AAQ67004.1-86.04,BAR50278.1-76.71,0.2814,0.3315,4.11,0.03,0.039,0.067,132,102,60
AAQ67004.1-86.04,BAR52475.1-80.97,0.2873,0.2444,5.3,0.03,0.023,0.053,132,171,75
AAQ67004.1-86.04,BAS49001.1-82.51,0.2773,0.2773,4.82,0.045,0.045,0.097,132,132,62
AAQ67004.1-86.04,BAU16639.1-92.21,0.821,0.7157,1.4,0.311,0.268,0.347,132,153,118
AAQ67004.1-86.04,BAU17006.1-77.60,0.2933,0.2511,5.34,0.015,0.012,0.026,132,169,76
AAQ67004.1-86.04,BAU18789.1-79.04,0.2928,0.251,4.91,0.008,0.006,0.014,132,168,72
AAQ67004.1-86.04,EEO39337.1-78.51,0.3567,0.2695,3.93,0.053,0.037,0.099,132,190,71
AAQ67004.1-86.04,EEO43048.1-88.38,0.3509,0.302,5.06,0.053,0.042,0.081,132,166,86
AAQ67004.1-86.04,EEU32732.1-88.93,0.3509,0.3007,5.06,0.053,0.042,0.081,132,167,86
AAQ67004.1-86.04,EEU32859.1-81.58,0.3755,0.2757,4.29,0.038,0.025,0.062,132,202,81
AAQ67004.1-86.04,EEU32996.1-87.55,0.3568,0.3032,5.04,0.061,0.047,0.092,132,169,87
AAQ67004.1-86.04,EFD82075.2-79.78,0.3726,0.2814,4.16,0.045,0.031,0.076,132,194,79
AAQ67004.1-86.04,EGN66713.1-88.04,0.3506,0.2945,5.06,0.045,0.035,0.07,132,172,86
AAQ67004.1-86.04,EGN67307.1-87.78,0.3297,0.2825,5.23,0.061,0.047,0.094,132,169,85
AAQ67004.1-86.04,EGY33133.1-91.77,0.7089,0.5261,2.63,0.235,0.168,0.277,132,184,112
AAQ67004.1-86.04,EHK89789.1-87.99,0.2973,0.2371,4.91,0.045,0.033,0.09,132,180,67
AAQ67004.1-86.04,EHK89835.1-88.07,0.9361,0.6924,1.46,0.432,0.315,0.432,132,181,132
AAQ67004.1-86.04,EHK91001.1-82.96,0.7097,0.4708,2.62,0.235,0.149,0.277,132,208,112
AAQ67004.1-86.04,EMB43982.1-90.06,0.3035,0.294,4.43,0.023,0.022,0.047,132,138,64
AAQ67004.1-86.04,EOA11658.1-72.56,0.282,0.3254,3.66,0.023,0.028,0.052,132,106,58
AAQ67004.1-86.04,ERJ63923.1-86.43,0.2761,0.2517,4.76,0.068,0.059,0.141,132,152,64
AAQ67004.1-86.04,ERJ64511.1-82.90,0.2874,0.2459,5.02,0.038,0.03,0.069,132,169,72
AAQ67004.1-86.04,ERJ66464.1-81.16,0.2853,0.2444,5.21,0.015,0.012,0.027,132,169,73
AAQ67004.1-86.04,ERJ66656.1-74.32,0.3233,0.189,5,0.015,0.007,0.025,132,284,79
AAQ67004.1-86.04,ERJ82300.1-81.32,0.2859,0.2427,5.34,0.045,0.035,0.08,132,171,75
AAQ67004.1-86.04,ERJ83369.1-81.77,0.2861,0.2434,5.28,0.038,0.029,0.067,132,171,75
AAQ67004.1-86.04,ERJ86145.1-84.43,0.3178,0.2494,5.08,0.038,0.026,0.064,132,191,78
AAQ67004.1-86.04,ERT47646.1-88.78,0.3501,0.3008,4.9,0.068,0.054,0.107,132,166,84
AAQ67004.1-86.04,ETA26341.1-85.95,0.2889,0.2616,4.91,0.03,0.026,0.056,132,155,72
AAQ67004.1-86.04,GAP81701.1-78.36,0.3174,0.248,5.14,0.023,0.016,0.038,132,192,79
AAQ67004.1-86.04,KJJ86346.1-80.41,0.2699,0.3071,4.19,0.03,0.037,0.067,132,107,60
AAQ67004.1-86.04,KJJ86519.1-89.88,0.3246,0.308,5.46,0.03,0.028,0.047,132,144,86
AAQ67004.1-86.04,KJJ87276.1-76.46,0.2927,0.2517,5.42,0.03,0.024,0.052,132,168,77
AAQ67004.1-86.04,KKY61606.1-78.51,0.2895,0.2501,5.53,0.038,0.03,0.063,132,168,79
AAQ67004.1-86.04,KUL98255.1-78.56,0.3588,0.2702,3.99,0.061,0.042,0.113,132,190,71
AAQ67004.1-86.04,KUL99308.1-87.49,0.3328,0.2837,5.04,0.045,0.036,0.073,132,169,82
AAQ67004.1-86.04,KUL99823.1-87.88,0.3366,0.28,4.9,0.045,0.035,0.076,132,173,79
AAQ67004.1-86.04,KXA22114.1-88.33,0.3516,0.3025,5.05,0.053,0.042,0.081,132,166,86
AAQ67004.1-86.04,KXC08061.1-81.24,0.2846,0.2408,5.38,0.03,0.023,0.055,132,171,73
AAQ67004.1-86.04,KYK85503.1-76.59,0.295,0.1842,5.32,0.045,0.023,0.079,132,265,76
AAQ67004.1-86.04,OLQ21168.1-82.08,0.2838,0.2405,5.03,0.038,0.029,0.07,132,171,71
AAQ67004.1-86.04,OWP31724.1-79.77,0.2906,0.2504,5.28,0.015,0.012,0.026,132,168,76
AAQ67004.1-86.04,OWP32476.1-91.64,0.8204,0.698,1.41,0.311,0.261,0.347,132,157,118
AAQ67004.1-86.04,OWP34023.1-74.77,0.4929,0.5328,2.56,0.152,0.165,0.26,132,121,77
AAQ67004.1-86.04,OWR82820.1-86.35,0.2878,0.2596,4.86,0.038,0.033,0.079,132,152,63
AAQ67004.1-86.04,PCR85716.1-87.87,0.3373,0.2816,4.9,0.045,0.035,0.076,132,172,79
AAQ67004.1-86.04,PDP56801.1-82.17,0.2871,0.2461,5.25,0.023,0.018,0.04,132,169,75
AAQ67004.1-86.04,PDP61269.1-79.88,0.2875,0.2484,5.55,0.023,0.018,0.038,132,168,78
AAQ67004.1-86.04,PDP61486.1-82.90,0.2865,0.2443,5.35,0.023,0.018,0.041,132,169,73
AAQ67004.1-86.04,PDP68574.1-79.22,0.2888,0.2486,5.48,0.023,0.018,0.039,132,168,77
AAQ67004.1-86.04,PDP69242.1-79.49,0.2885,0.2483,5.39,0.008,0.006,0.013,132,168,76
AAQ67004.1-86.04,PDP76386.1-76.81,0.2868,0.2471,5.43,0.015,0.012,0.026,132,168,76
AAQ67004.1-86.04,PDP76608.1-79.93,0.279,0.2355,4.76,0.023,0.018,0.05,132,166,60
AAQ67004.1-86.04,PDP79289.1-82.68,0.2856,0.2448,5.3,0.045,0.036,0.08,132,169,75
AAQ67004.1-86.04,PDP80394.1-81.87,0.2865,0.2459,5.54,0.023,0.018,0.039,132,169,77
AAQ67004.1-86.04,PDP82206.1-79.47,0.2913,0.2498,5.16,0.015,0.012,0.027,132,169,75
AAQ67004.1-86.04,PGH20633.1-88.73,0.3509,0.3014,4.91,0.061,0.048,0.095,132,166,84
AAQ67004.1-86.04,PGH21735.1-87.63,0.3307,0.2842,5.31,0.053,0.041,0.08,132,169,87
AAQ67004.1-86.04,PGH22407.1-87.65,0.3273,0.2819,5.32,0.061,0.047,0.092,132,169,87
AAQ67004.1-86.04,PHH97487.1-87.77,0.3357,0.2805,4.9,0.053,0.041,0.089,132,172,79
AAQ67004.1-86.04,PHI05755.1-88.92,0.3508,0.3626,4.88,0.038,0.04,0.058,132,125,86
AAQ67004.1-86.04,PHI06540.1-87.66,0.356,0.3243,4.94,0.045,0.039,0.071,132,152,85
AAQ67004.1-86.04,PHI08326.1-87.96,0.325,0.2738,4.89,0.045,0.035,0.076,132,172,79
AAQ67004.1-86.04,PHI13657.1-89.00,0.3501,0.3618,4.8,0.03,0.032,0.047,132,125,85
AAQ67004.1-86.04,PIK17204.1-80.00,0.2908,0.251,5.41,0.038,0.03,0.064,132,168,78
AAQ67004.1-86.04,PIK17411.1-90.13,0.3305,0.1881,5.33,0.068,0.031,0.108,132,294,83
AAQ67004.1-86.04,PIK19369.1-79.78,0.2912,0.25,5.31,0.015,0.012,0.026,132,169,76
AAQ67004.1-86.04,PIK19759.1-90.23,0.9502,0.857,1.18,0.394,0.354,0.394,132,147,132
AAQ67004.1-86.04,PIK20109.1-91.74,0.8248,0.7064,1.43,0.333,0.282,0.37,132,156,119
AAQ67004.1-86.04,PIN27250.1-82.03,0.2836,0.3251,3.97,0.038,0.047,0.083,132,107,60
AAQ67004.1-86.04,PIN27259.1-71.98,0.2801,0.3209,3.88,0.023,0.028,0.051,132,107,59
AAQ67004.1-86.04,PIN27300.1-79.97,0.292,0.2502,5.29,0.023,0.018,0.039,132,169,76
AAQ67004.1-86.04,PIN29465.1-82.38,0.2888,0.2433,5.28,0.045,0.035,0.082,132,172,73
AAQ67004.1-86.04,PJE99021.1-78.83,0.2932,0.2525,5.34,0.008,0.006,0.013,132,169,78
AAQ67004.1-86.04,PJI21017.1-80.35,0.2892,0.2489,5.24,0.03,0.024,0.053,132,168,75
AAQ67004.1-86.04,PJI24363.1-91.77,0.8236,0.7055,1.44,0.326,0.276,0.361,132,156,119
AAQ67004.1-86.04,PJI24389.1-79.82,0.2875,0.2477,5.27,0.008,0.006,0.013,132,168,75
AAQ67004.1-86.04,PJI25578.1-79.82,0.2892,0.249,5.26,0.023,0.018,0.04,132,168,75
AAQ67004.1-86.04,PJI26311.1-78.95,0.2863,0.2465,5.31,0.008,0.006,0.013,132,168,75
AAQ67004.1-86.04,PJI27691.1-81.67,0.2959,0.2773,4.57,0.045,0.041,0.087,132,146,69
AAQ67004.1-86.04,QEH45386.1-79.91,0.3033,0.3004,5.18,0,0,0,132,134,73
AAQ67004.1-86.04,QUI90514.1-80.68,0.2869,0.2429,5.36,0.023,0.018,0.041,132,171,74
AAQ67004.1-86.04,QYR65713.1-84.78,0.3616,0.3436,5.16,0.038,0.035,0.056,132,143,89
AAQ67004.1-86.04,QYR66967.1-88.53,0.3341,0.3094,5.04,0.045,0.04,0.073,132,149,82
AAQ67004.1-86.04,RQD99704.1-79.61,0.2894,0.2494,5.49,0.023,0.018,0.038,132,169,79
AAQ67004.1-86.04,RQE06608.1-79.37,0.3134,0.2666,4.94,0.045,0.036,0.081,132,168,74
AAQ67004.1-86.04,RRD62062.1-71.00,0.3154,0.1824,5.21,0.038,0.017,0.062,132,292,80
AAQ67004.1-86.04,RRD75271.1-89.19,0.2721,0.2661,5.5,0.023,0.022,0.042,132,137,72
AAQ67004.1-86.04,SJL19104.1-79.65,0.2767,0.2338,4.53,0.03,0.024,0.068,132,166,59
AAQ67004.1-86.04,SJL19364.1-82.60,0.2859,0.2435,5.31,0.038,0.03,0.069,132,169,72
AAQ67004.1-86.04,SJL25880.1-82.17,0.2824,0.2392,5.09,0.03,0.023,0.056,132,171,71
AAQ67004.1-86.04,TYB11840.1-89.18,0.9406,0.695,1.43,0.447,0.326,0.447,132,181,132
AAQ67004.1-86.04,UTC88072.1-77.81,0.4288,0.3648,4.53,0.038,0.03,0.051,132,168,98
AAQ67004.1-86.04,VTX56655.1-88.51,0.3513,0.3023,5.06,0.045,0.036,0.07,132,166,86
AAQ67004.1-86.04,WP_002668050.1-90.90,0.271,0.1795,4.9,0.038,0.02,0.075,132,244,67
AAQ67004.1-86.04,WP_002689100.1-89.84,0.3,0.2907,4.48,0.045,0.043,0.094,132,138,64
AAQ67004.1-86.04,WP_005560990.1-89.93,0.2651,0.2334,5.88,0.03,0.024,0.052,132,165,77
AAQ67004.1-86.04,WP_010697710.1-89.23,0.3046,0.2951,4.41,0.03,0.029,0.062,132,138,64
AAQ67004.1-86.04,WP_080574655.1-84.27,0.3302,0.2757,4.99,0.038,0.029,0.064,132,172,78
AAQ67004.1-86.04,WP_097657165.1-87.74,0.3146,0.2764,4.65,0.03,0.025,0.054,132,161,74
AAQ67004.1-86.04,WP_150153335.1-89.35,0.353,0.3705,4.82,0.061,0.066,0.094,132,122,85
AAQ67004.1-86.04,WP_150153577.1-82.68,0.3678,0.2703,4.39,0.061,0.04,0.1,132,202,80
AAQ67004.1-86.04,WP_155642491.1-88.57,0.2947,0.2416,4.47,0.03,0.023,0.062,132,175,65
AAQ67004.1-86.04,WP_187106099.1-89.80,0.3507,0.3677,4.83,0.045,0.049,0.071,132,122,85
AAQ67004.1-86.04,WP_187106668.1-89.16,0.3498,0.3667,4.82,0.038,0.041,0.059,132,122,85
AAQ67004.1-86.04,WP_205766317.1-90.71,0.3025,0.2554,4.95,0.045,0.035,0.08,132,172,75
AAQ67004.1-86.04,WP_205768292.1-82.40,0.7602,0.4302,2.7,0.174,0.093,0.19,132,248,121
AAQ67004.1-86.04,WP_205768727.1-81.69,0.762,0.4279,2.67,0.182,0.096,0.198,132,250,121
AAQ67004.1-86.04,WP_205769178.1-87.53,0.3141,0.2734,5.16,0.053,0.043,0.089,132,164,79
AAQ67004.1-86.04,WP_205770740.1-88.35,0.3092,0.2465,5.04,0.03,0.022,0.053,132,186,75
AAQ67004.1-86.04,WP_205771886.1-88.81,0.3219,0.2495,5.16,0.023,0.016,0.037,132,193,80
AAQ67004.1-86.04,WP_205772954.1-86.09,0.3156,0.2718,5.25,0.053,0.042,0.086,132,167,81
AAQ67004.1-86.04,WP_205774081.1-89.49,0.3226,0.2502,5.19,0.03,0.021,0.05,132,193,80
AAQ67004.1-86.04,WP_205774216.1-80.16,0.7631,0.4291,2.76,0.189,0.1,0.205,132,250,122
AAQ67004.1-86.04,WP_205774951.1-90.80,0.3011,0.2536,5.18,0.045,0.035,0.08,132,172,75
AAQ67004.1-86.04,WP_205775805.1-81.27,0.27,0.314,4.54,0.03,0.038,0.069,132,106,58
AAQ67004.1-86.04,WP_211605239.1-82.30,0.2831,0.2419,5.6,0.045,0.035,0.078,132,171,77
AAQ67004.1-86.04,WP_230466978.1-72.11,0.2725,0.2725,5.47,0.023,0.023,0.041,132,132,73
AAQ67004.1-86.04,WP_232528158.1-77.67,0.2933,0.2515,5.49,0.03,0.024,0.051,132,170,79
AAQ67004.1-86.04,WP_233113975.1-90.81,0.9447,0.6972,1.41,0.432,0.315,0.432,132,181,132
AAQ67004.1-86.04,WP_233141670.1-88.26,0.2962,0.236,4.79,0.045,0.033,0.091,132,180,66
AAQ67004.1-86.04,WP_233444100.1-86.05,0.2838,0.2387,4.73,0.015,0.012,0.03,132,170,66
AAQ67004.1-86.04,WP_253698019.1-77.34,0.3026,0.2901,4.31,0.038,0.036,0.079,132,140,63
AAQ67004.1-86.04,WP_253730758.1-90.66,0.2946,0.2906,5.07,0.023,0.022,0.041,132,135,74
AAQ67004.1-86.04,WP_253731724.1-77.53,0.2966,0.285,5.06,0.008,0.007,0.013,132,141,75
AAQ67004.1-86.04,WP_261794777.1-89.16,0.2814,0.2697,5.27,0.068,0.064,0.13,132,141,69
AFI86262.1-89.96,AFJ08142.1-92.10,0.3217,0.3274,5.01,0.038,0.039,0.069,159,155,87
AFI86262.1-89.96,AIJ34845.1-89.63,0.2996,0.3127,5.26,0.069,0.074,0.129,159,149,85
AFI86262.1-89.96,AKV63926.1-81.23,0.3884,0.3697,5.09,0.05,0.047,0.075,159,171,107
AFI86262.1-89.96,ALF16987.1-86.89,0.2662,0.2563,5.45,0.013,0.012,0.025,159,169,80
AFI86262.1-89.96,ALF17355.1-77.91,0.4009,0.3401,5.14,0.05,0.04,0.071,159,202,113
AFI86262.1-89.96,ALF17404.1-88.92,0.2976,0.2889,4.44,0.013,0.012,0.026,159,166,77
AFI86262.1-89.96,ALF22009.1-89.36,0.2457,0.303,4.72,0.05,0.066,0.138,159,122,58
AFI86262.1-89.96,ALF24715.1-87.05,0.2686,0.2584,5.31,0.013,0.012,0.025,159,169,79
AFI86262.1-89.96,ALF24927.1-77.15,0.3431,0.298,5.16,0.057,0.046,0.097,159,194,93
AFI86262.1-89.96,ALJ24580.1-80.05,0.3837,0.3656,5.22,0.057,0.053,0.083,159,171,109
AFI86262.1-89.96,AMQ94623.1-88.71,0.6979,0.5838,1.71,0.208,0.171,0.268,159,193,123
AFI86262.1-89.96,APW33183.1-79.76,0.4088,0.3913,4.3,0.05,0.047,0.079,159,169,101
AFI86262.1-89.96,APW33876.1-91.96,0.3056,0.3118,5.48,0.044,0.045,0.076,159,154,92
AFI86262.1-89.96,ATR92881.1-83.63,0.389,0.373,4.94,0.038,0.036,0.057,159,169,105
AFI86262.1-89.96,ATR95460.1-82.20,0.3889,0.3731,5.11,0.038,0.036,0.056,159,169,107
AFI86262.1-89.96,ATR98718.1-81.52,0.3905,0.3714,4.96,0.044,0.041,0.067,159,171,105
AFI86262.1-89.96,ATV05999.1-89.20,0.297,0.2872,4.97,0.013,0.012,0.025,159,167,81
AFI86262.1-89.96,ATV25391.1-82.06,0.3853,0.37,5.23,0.063,0.059,0.091,159,169,110
AFI86262.1-89.96,ATV27155.1-80.02,0.41,0.3939,4.35,0.05,0.048,0.079,159,168,101
AFI86262.1-89.96,ATV27245.1-80.03,0.41,0.394,4.34,0.05,0.048,0.079,159,168,101
AFI86262.1-89.96,ATV29060.1-79.07,0.3898,0.3756,5.07,0.031,0.03,0.047,159,168,107
AFI86262.1-89.96,ATV29297.1-92.32,0.3086,0.3134,5.66,0.044,0.045,0.074,159,155,95
AFI86262.1-89.96,ATV31678.1-80.13,0.4098,0.3938,4.42,0.05,0.048,0.078,159,168,102
AFI86262.1-89.96,ATV32174.1-80.12,0.4111,0.3935,4.23,0.05,0.047,0.079,159,169,101
AFI86262.1-89.96,ATV32580.1-86.95,0.3068,0.3159,4.48,0.057,0.059,0.123,159,153,73
AFI86262.1-89.96,ATV33916.1-80.37,0.3858,0.3676,5.09,0.057,0.053,0.084,159,171,107
AFI86262.1-89.96,ATV37225.1-92.18,0.304,0.3118,5.47,0.019,0.02,0.034,159,153,87
AFI86262.1-89.96,ATV39350.1-79.37,0.4109,0.3947,4.16,0.044,0.042,0.07,159,168,100
AFI86262.1-89.96,ATV51908.1-80.43,0.4103,0.4363,4.13,0.057,0.062,0.091,159,146,99
AFI86262.1-89.96,ATV53006.1-80.31,0.4055,0.388,4.02,0.063,0.059,0.102,159,169,98
AFI86262.1-89.96,ATV53739.1-79.73,0.3798,0.3561,5.22,0.044,0.04,0.065,159,175,107
AFI86262.1-89.96,ATV55906.1-78.29,0.4135,0.3973,4.13,0.063,0.06,0.1,159,168,100
AFI86262.1-89.96,AWX06279.1-78.97,0.4048,0.389,4.28,0.063,0.06,0.1,159,168,100
AFI86262.1-89.96,AWX07865.1-78.67,0.3882,0.3738,4.74,0.031,0.03,0.048,159,168,104
AFI86262.1-89.96,AWX08490.1-72.23,0.4047,0.3977,4.2,0.05,0.049,0.081,159,163,99
AFI86262.1-89.96,BAR48143.1-90.34,0.5222,0.4461,3.36,0.075,0.062,0.108,159,193,111
AFI86262.1-89.96,BAR50278.1-76.71,0.245,0.3218,5,0.013,0.02,0.029,159,102,68
AFI86262.1-89.96,BAR52475.1-80.97,0.3922,0.3729,4.93,0.05,0.047,0.076,159,171,105
AFI86262.1-89.96,BAS49001.1-82.51,0.566,0.6611,2.67,0.126,0.152,0.182,159,132,110
AFI86262.1-89.96,BAU16639.1-92.21,0.3045,0.3124,5.45,0.019,0.02,0.034,159,153,87
AFI86262.1-89.96,BAU17006.1-77.60,0.4041,0.3868,4.16,0.069,0.065,0.111,159,169,99
AFI86262.1-89.96,BAU18789.1-79.04,0.3793,0.3659,5.07,0.038,0.036,0.056,159,168,107
AFI86262.1-89.96,EEO39337.1-78.51,0.4877,0.4193,2.66,0.101,0.084,0.167,159,190,96
AFI86262.1-89.96,EEO43048.1-88.38,0.2969,0.2885,4.95,0.013,0.012,0.025,159,166,81
AFI86262.1-89.96,EEU32732.1-88.93,0.2958,0.286,4.48,0.013,0.012,0.026,159,167,77
AFI86262.1-89.96,EEU32859.1-81.58,0.4176,0.3557,5.05,0.038,0.03,0.051,159,202,118
AFI86262.1-89.96,EEU32996.1-87.55,0.2649,0.2547,5.11,0.013,0.012,0.026,159,169,76
AFI86262.1-89.96,EFD82075.2-79.78,0.4286,0.3735,5.06,0.019,0.015,0.025,159,194,118
AFI86262.1-89.96,EGN66713.1-88.04,0.2676,0.2542,5.14,0.006,0.006,0.013,159,172,76
AFI86262.1-89.96,EGN67307.1-87.78,0.2656,0.2554,5.22,0.019,0.018,0.039,159,169,77
AFI86262.1-89.96,EGY33133.1-91.77,0.3294,0.2994,5.43,0.05,0.043,0.082,159,184,97
AFI86262.1-89.96,EHK89789.1-87.99,0.4385,0.4006,4.39,0.057,0.05,0.083,159,180,109
AFI86262.1-89.96,EHK89835.1-88.07,0.3488,0.3212,5.38,0.038,0.033,0.058,159,181,103
AFI86262.1-89.96,EHK91001.1-82.96,0.3269,0.2731,5.36,0.025,0.019,0.042,159,208,95
AFI86262.1-89.96,EMB43982.1-90.06,0.2807,0.3085,4.94,0.038,0.043,0.079,159,138,76
AFI86262.1-89.96,EOA11658.1-72.56,0.3064,0.4123,3.9,0.038,0.057,0.086,159,106,70
AFI86262.1-89.96,ERJ63923.1-86.43,0.3846,0.3962,4.9,0.038,0.039,0.057,159,152,105
AFI86262.1-89.96,ERJ64511.1-82.90,0.3836,0.3686,5.17,0.063,0.059,0.093,159,169,108
AFI86262.1-89.96,ERJ66464.1-81.16,0.389,0.3732,4.93,0.05,0.047,0.076,159,169,105
AFI86262.1-89.96,ERJ66656.1-74.32,0.3136,0.2089,5.76,0.038,0.021,0.064,159,284,94
AFI86262.1-89.96,ERJ82300.1-81.32,0.3861,0.3672,4.99,0.05,0.047,0.076,159,171,105
AFI86262.1-89.96,ERJ83369.1-81.77,0.3863,0.368,5.14,0.05,0.047,0.074,159,171,108
AFI86262.1-89.96,ERJ86145.1-84.43,0.4943,0.4276,3.43,0.082,0.068,0.12,159,191,108
AFI86262.1-89.96,ERT47646.1-88.78,0.2956,0.287,4.48,0.025,0.024,0.052,159,166,77
AFI86262.1-89.96,ETA26341.1-85.95,0.4058,0.4132,4.39,0.05,0.052,0.079,159,155,101
AFI86262.1-89.96,GAP81701.1-78.36,0.4907,0.4214,3.06,0.063,0.052,0.097,159,192,103
AFI86262.1-89.96,KJJ86346.1-80.41,0.2988,0.3994,4.09,0.031,0.047,0.071,159,107,70
AFI86262.1-89.96,KJJ86519.1-89.88,0.2716,0.2908,4.76,0.013,0.014,0.029,159,144,70
AFI86262.1-89.96,KJJ87276.1-76.46,0.4057,0.3901,4.14,0.038,0.036,0.06,159,168,100
AFI86262.1-89.96,KKY61606.1-78.51,0.3884,0.3744,4.99,0.044,0.042,0.065,159,168,107
AFI86262.1-89.96,KUL98255.1-78.56,0.4883,0.4194,2.56,0.094,0.079,0.158,159,190,95
AFI86262.1-89.96,KUL99308.1-87.49,0.2674,0.2571,5.25,0.019,0.018,0.038,159,169,78
AFI86262.1-89.96,KUL99823.1-87.88,0.2662,0.2522,5.48,0.013,0.012,0.025,159,173,79
AFI86262.1-89.96,KXA22114.1-88.33,0.2965,0.2879,4.64,0.013,0.012,0.026,159,166,78
AFI86262.1-89.96,KXC08061.1-81.24,0.3907,0.3717,5,0.044,0.041,0.066,159,171,106
AFI86262.1-89.96,KYK85503.1-76.59,0.9817,0.592,0.9,0.987,0.592,0.987,159,265,159
AFI86262.1-89.96,OLQ21168.1-82.08,0.3911,0.372,5.1,0.044,0.041,0.065,159,171,107
AFI86262.1-89.96,OWP31724.1-79.77,0.3812,0.3677,5.01,0.05,0.048,0.075,159,168,106
AFI86262.1-89.96,OWP32476.1-91.64,0.3206,0.3234,5.3,0.05,0.051,0.091,159,157,88
AFI86262.1-89.96,OWP34023.1-74.77,0.2548,0.3011,5.13,0.025,0.033,0.055,159,121,73
AFI86262.1-89.96,OWR82820.1-86.35,0.3908,0.4029,5.06,0.044,0.046,0.066,159,152,106
AFI86262.1-89.96,PCR85716.1-87.87,0.2679,0.2546,5.39,0.019,0.017,0.038,159,172,78
